starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 17 18:22:29 2015	1447764749	0	60	60	60
Tue Nov 17 18:22:13 2015	1447764733	0	60	60	60
Tue Nov 17 18:22:23 2015	1447764743	0	60	60	60
Tue Nov 17 18:22:26 2015	1447764746	0	60	60	60
Tue Nov 17 18:22:05 2015	1447764725	0	60	60	60
Tue Nov 17 18:22:13 2015	1447764733	0	60	60	60
Tue Nov 17 18:22:03 2015	1447764723	0	60	60	60
Tue Nov 17 18:22:19 2015	1447764739	0	60	60	60
Tue Nov 17 18:22:22 2015	1447764742	0	60	60	60
Tue Nov 17 18:22:27 2015	1447764747	0	60	60	60
Tue Nov 17 18:22:25 2015	1447764745	0	60	60	60
Tue Nov 17 18:22:19 2015	1447764739	0	60	60	60
Tue Nov 17 18:22:29 2015	1447764749	0	60	60	60
Tue Nov 17 18:22:13 2015	1447764733	0	60	60	60
Tue Nov 17 18:22:11 2015	1447764731	0	60	60	60
Tue Nov 17 18:22:26 2015	1447764746	0	60	60	60
Tue Nov 17 18:22:20 2015	1447764740	0	60	60	60
Tue Nov 17 18:22:08 2015	1447764728	0	60	60	60
Tue Nov 17 18:22:14 2015	1447764734	0	60	60	60
Tue Nov 17 18:22:09 2015	1447764729	0	60	60	60
Tue Nov 17 18:22:24 2015	1447764744	0	60	60	60
